,backers_count,category,pledged,state,blurb_length,goal_in_usd,campaign_duration,sub_category
5164,56,music,4613.0,1,24.0,3600.0,30,world music
5165,0,photography,0.0,0,10.0,6000.0,30,people
5166,107,music,5840.55,1,17.0,5000.0,45,pop
5167,112,photography,44910.0,1,9.0,4962.61,27,photobooks
5168,0,music,0.0,0,22.0,36439.61,45,world music
5169,23,music,1009.0,1,9.0,600.0,57,rock
5170,1,photography,5000.0,0,24.0,60000.0,30,places
5171,1,photography,10.0,0,17.0,2000.0,30,places
5172,0,photography,0.0,0,19.0,8000.0,30,nature
5173,1,music,10.0,0,23.0,5000.0,30,metal
5174,110,music,4913.0,1,14.0,4450.0,60,rock
5175,94,publishing,2086.12,0,23.0,9800.0,30,anthologies
5176,3,music,794.71,0,4.0,2076.92,38,metal
5177,247,"publishing"",""position"":13,""color"":14867664,""urls"":{""web"":{""discover"":""http:",16495.0,1,14.0,9750.0,30,
5178,1,music,1.0,0,11.0,6607.13,30,r&b
5179,169,music,16671.0,1,5.0,16500.0,34,pop
5180,3,publishing,4.0,0,20.0,3263.96,30,academic
5181,76,publishing,10199.67,1,24.0,5575.0,30,art books
5182,252,publishing,10478.0,1,19.0,5000.0,25,nonfiction
5183,87,music,2989.01,1,19.0,1000.0,23,pop
5184,109,music,10281.0,1,25.0,9000.0,30,pop
5185,2,photography,51.0,0,24.0,1000.0,30,nature
5186,6,photography,139.0,0,18.0,21000.0,35,people
5187,16,music,1123.0,1,26.0,1000.0,17,pop
5188,11,publishing,2278.8,0,10.0,1335.61,30,anthologies
5189,142,music,12666.0,1,22.0,12000.0,55,rock
5190,176,photography,22894.0,1,24.0,22000.0,34,photobooks
5191,26,music,2055.0,1,2.0,2346.58,25,pop
5192,25,photography,1511.0,0,20.0,5000.0,30,photobooks
5193,0,music,0.0,0,14.0,5000.0,30,pop
5194,82,photography,9505.0,1,22.0,9500.0,31,nature
5195,127,photography,5800.0,1,22.0,6855.76,30,people
5196,20,photography,908.0,1,17.0,99.0,14,photobooks
5197,293,music,8052.52,1,24.0,8395.4,30,metal
5198,20,photography,688.0,1,9.0,241.51,19,photobooks
5199,43,music,661.0,1,9.0,622.8,60,world music
5200,4,publishing,136.0,0,18.0,3500.0,52,art books
5201,45,music,1500.0,1,22.0,1000.0,30,pop
5202,44,music,1830.0,1,25.0,1750.0,30,metal
5203,318,photography,15040.0,1,16.0,10000.0,38,nature
5204,2,music,6.0,0,2.0,7000.0,60,world music
5205,567,music,40453.52,1,14.0,19999.0,30,rock
5206,55,music,4226.0,1,21.0,2500.0,37,pop
5207,43,photography,4652.0,1,22.0,5057.48,21,photobooks
5208,10,"photography"",""position"":12,""color"":58341,""urls"":{""web"":{""discover"":""http:",348.0,1,22.0,290.35,11,
5209,212,publishing,28089.0,1,21.0,26517.0,23,academic
5210,134,photography,81215.71,1,11.0,8652.25,30,photobooks
5211,16,photography,1138.0,1,22.0,150.0,5,photobooks
5212,17,music,2405.0,1,25.0,2000.0,30,rock
5213,110,photography,7843.0,1,10.0,9097.69,30,photobooks
5214,46,music,3726.0,1,25.0,3500.0,35,pop
5215,4,publishing,99.0,0,14.0,2000.0,38,academic
5216,62,publishing,8261.0,1,13.0,7900.0,30,periodicals
5217,175,music,12217.0,1,15.0,10000.0,60,r&b
5218,9,music,750.0,1,28.0,750.0,60,pop
5219,125,music,10051.0,1,21.0,10000.0,30,rock
5220,2,publishing,2.0,0,12.0,29617.25,30,art books
5221,6,music,140.0,0,20.0,368.49,30,pop
5222,21,photography,2040.0,1,18.0,2000.0,21,fine art
5223,13,photography,620.0,1,22.0,149.0,5,fine art
5224,1,photography,10.0,0,17.0,4707.94,30,photobooks
5225,176,photography,6415.0,1,14.0,7825.96,30,nature
5226,29,publishing,1271.0,0,23.0,2000.0,30,academic
5227,64,music,4749.0,1,21.0,2500.0,30,rock
5228,55,publishing,2803.0,1,8.0,2222.0,28,children's books
5229,69,music,3760.0,0,25.0,10000.0,45,world music
5230,298,music,12654.0,1,14.0,14434.77,37,rock
5231,28,music,1585.0,1,20.0,1500.0,8,pop
5232,85,photography,5410.0,0,22.0,70502.17,40,people
5233,0,publishing,0.0,0,26.0,85000.0,30,academic
5234,84,music,72195.8,1,11.0,3517.43,52,world music
5235,8,publishing,1500.0,1,24.0,1500.0,40,zines
5236,1,music,1.0,0,19.0,15000.0,30,r&b
5237,235,music,22221.0,1,25.0,15000.0,42,pop
5238,189,publishing,3488.0,1,20.0,100.0,37,anthologies
5239,93,publishing,4232.99,1,23.0,3000.0,30,art books
5240,1,photography,109.0,0,3.0,20438.31,30,places
5241,5,music,170.0,0,18.0,80332.83,21,world music
5242,41,music,6131.0,1,14.0,6000.0,30,rock
5243,4,photography,523.0,0,14.0,55000.0,60,fine art
5244,18,music,361.0,0,24.0,5000.0,60,world music
5245,37,photography,5491.0,0,18.0,12000.0,31,photobooks
5246,78,publishing,7836.0,1,23.0,7700.0,30,children's books
5247,149,music,8880.0,1,23.0,7500.0,33,rock
5248,13,music,1002.0,1,25.0,727.78,30,metal
5249,62,music,2106.0,1,23.0,2000.0,30,pop
5250,17,photography,825.0,1,19.0,500.0,30,people
5251,35,music,6756.0,1,22.0,5000.0,21,pop
5252,381,publishing,25203.0,1,10.0,12980.0,21,fiction
5253,0,photography,0.0,0,3.0,3921.93,38,places
5254,132,publishing,5159.0,1,21.0,3500.0,17,fiction
5255,72,music,3636.0,1,21.0,3300.0,30,rock
5256,322,music,37087.0,1,3.0,30000.0,30,pop
5257,12,music,526.0,1,18.0,500.0,33,rock
5258,171,photography,10941.0,1,22.0,9000.0,30,photobooks
5259,5,photography,168.0,0,18.0,5131.83,35,photobooks
5260,3,publishing,51.0,0,15.0,15000.0,30,academic
5261,0,photography,0.0,0,14.0,730.55,30,fine art
5262,8,photography,1500.0,1,9.0,1676.2,60,people
5263,46,"publishing"",""position"":13,""color"":14867664,""urls"":{""web"":{""discover"":""http:",1181.0,1,13.0,704.1,30,
5264,31,music,2060.0,1,15.0,2000.0,59,pop
5265,22,photography,300.0,1,23.0,137.83,32,fine art
5266,53,music,5225.0,1,10.0,3000.0,37,rock
5267,0,music,0.0,0,21.0,54153.76,60,r&b
5268,7,music,290.0,0,23.0,6000.0,45,r&b
5269,184,photography,19831.0,0,17.0,26000.0,30,people
5270,1,photography,1.0,0,1.0,4200.0,36,photobooks
5271,3,music,13.0,0,18.0,30000.0,60,world music
5272,7,music,201.0,0,20.0,5000.0,59,metal
5273,191,photography,16850.0,1,11.0,20818.99,37,photobooks
5274,68,music,4631.0,1,20.0,4600.0,30,rock
5275,40,publishing,2278.0,0,8.0,5000.0,35,academic
5276,26,publishing,967.0,1,23.0,700.0,30,art books
5277,1,music,10.0,0,18.0,10000.0,60,r&b
5278,27,photography,7781.0,0,27.0,25000.0,45,photobooks
5279,372,music,17591.0,1,25.0,15000.0,35,pop
5280,54,music,10161.0,1,22.0,10000.0,40,pop
5281,72,photography,5109.0,1,17.0,3900.0,15,photobooks
5282,23,music,1996.55,0,23.0,7000.0,30,world music
5283,55,music,6072.0,1,7.0,6000.0,30,pop
5284,24,publishing,870.0,0,17.0,1327.0,30,anthologies
5285,0,photography,0.0,0,15.0,5000.0,30,photobooks
5286,15,photography,498.0,1,12.0,251.4,60,nature
5287,70,publishing,5926.0,1,3.0,4500.0,30,children's books
5288,30,photography,1307.0,1,18.0,1000.0,30,nature
5289,55,music,1275.0,1,17.0,1648.01,30,metal
5290,37,music,15466.8,0,20.0,12227.8,60,world music
5291,41,photography,470.5,1,20.0,583.4,45,people
5292,5205,music,287764.19,1,5.0,60000.0,30,punk
5293,136,publishing,7628.0,1,22.0,1000.0,30,anthologies
5294,4,photography,1495.0,0,13.0,40000.0,49,people
5295,77,music,3480.0,1,11.0,3000.0,60,pop
5296,33,"publishing"",""position"":13,""color"":14867664,""urls"":{""web"":{""discover"":""http:",3531.29,1,17.0,2374.52,30,
5297,94,music,5066.0,1,23.0,5000.0,30,metal
5298,333,publishing,9382.99,1,20.0,10615.08,28,anthologies
5299,59,music,2690.0,1,21.0,2100.0,30,pop
5300,341,"publishing"",""position"":13,""color"":14867664,""urls"":{""web"":{""discover"":""http:",49818.0,1,10.0,26500.0,30,
5301,1,photography,5.0,0,26.0,2000.0,30,people
5302,54,publishing,2294.0,0,21.0,6500.0,30,academic
5303,3,photography,40.0,0,22.0,6000.0,30,nature
5304,0,music,0.0,0,24.0,1000.0,60,pop
5305,28,photography,2882.0,1,16.0,1650.0,32,fine art
5306,0,photography,0.0,0,27.0,200.0,7,fine art
5307,82,photography,5367.0,1,7.0,3500.0,21,photobooks
5308,201,music,6031.0,1,24.0,4000.0,28,rock
5309,5,publishing,122.0,0,16.0,6899.98,60,academic
5310,21,publishing,23813.8,1,15.0,942.43,50,anthologies
5311,253,publishing,11299.0,1,13.0,10000.0,30,literary journals
5312,3,publishing,6.93,0,23.0,8198.29,30,academic
5313,102,music,15438.0,1,24.0,15000.0,30,pop
5314,5,photography,2360.0,0,7.0,1187.34,33,photobooks
5315,6,photography,246.0,0,7.0,350.0,34,places
5316,47,music,5669.0,1,22.0,5000.0,30,pop
5317,3,music,80.0,0,24.0,4000.0,30,punk
5318,0,music,0.0,0,19.0,361.36,18,world music
5319,38,music,2503.0,1,19.0,2500.0,25,rock
5320,146,photography,8369.69,1,22.0,5000.0,30,places
5321,13,photography,417.0,1,17.0,426.99,21,photobooks
5322,20,photography,831.0,1,19.0,500.0,30,people
5323,4,music,195.0,0,21.0,6500.0,30,world music
5324,155,music,15611.0,1,14.0,15000.0,30,pop
5325,23,music,604.0,1,22.0,753.01,38,punk
5326,24,music,760.0,1,24.0,982.72,20,rock
5327,10,music,281.0,0,19.0,600.0,60,punk
5328,35,music,4101.0,1,27.0,3500.0,30,rock
5329,76,photography,6352.0,1,21.0,8261.72,30,photobooks
5330,278,publishing,9571.0,1,19.0,2000.0,17,fiction
